sale_id,sale_date,year,quarter,month,country,region,city,product_name,category,storage,color,is_5g,unit_price_usd,discount_pct,units_sold,discounted_price_usd,revenue_usd,currency,fx_rate_to_usd,revenue_local_currency,sales_channel,payment_method,customer_segment,customer_age_group,previous_device_os,customer_rating,return_status,Total Sales
SAMS-00000003,2021-05-22,2021,Q2,May,Argentina,South America,Buenos Aires,Samsung Galaxy A34 5G,Galaxy A,128 GB,Awesome Black,Yes,410.19,12,6,360.97,2165.82,ARS,907.0,1964398.74,Corporate / B2B,Gift Card,Individual,25–34,New User,3.5,Kept,2461.14
SAMS-00000005,2021-09-02,2021,Q3,September,Argentina,South America,Buenos Aires,Samsung Galaxy Z Fold 4,Galaxy Z,256 GB,Cream,Yes,1562.98,0,2,1562.98,3125.96,ARS,907.0,2835245.72,Authorized Reseller,Gift Card,Business,55+,Android (Other),3.0,Kept,3125.96
SAMS-00000010,2022-02-28,2022,Q1,February,Argentina,South America,Buenos Aires,Samsung Galaxy A53 5G,Galaxy A,64 GB,Awesome Violet,Yes,429.3,0,3,429.3,1287.9,ARS,907.0,1168125.3,Third-Party Retailer,Net Banking,Government,25–34,Android (Other),4.7,Kept,1287.9
SAMS-00000014,2022-07-17,2022,Q3,July,Argentina,South America,Buenos Aires,Samsung Galaxy S22,Galaxy S,512 GB,Phantom Black,Yes,654.34,15,1,556.19,556.19,ARS,907.0,504464.33,Corporate / B2B,BNPL (Buy Now Pay Later),Government,25–34,New User,4.6,Kept,654.34
SAMS-00000015,2022-07-28,2022,Q3,July,Argentina,South America,Buenos Aires,Samsung Galaxy M14 5G,Galaxy M,64 GB,Icy Blue,Yes,172.9,7,1,160.8,160.8,ARS,907.0,145845.6,E-commerce Platform,Net Banking,Business,18–24,New User,4.3,Kept,172.9
SAMS-00000020,2022-12-21,2022,Q4,December,Argentina,South America,Buenos Aires,Samsung Galaxy S21 FE,Galaxy S,1 TB,Green,No,491.19,0,2,491.19,982.38,ARS,907.0,891018.66,Samsung Store,EMI / Installment,Government,18–24,New User,3.3,Kept,982.38
SAMS-00000023,2023-04-06,2023,Q2,April,Argentina,South America,Buenos Aires,Samsung Galaxy S24+,Galaxy S,256 GB,Titanium Yellow,Yes,959.63,0,2,959.63,1919.26,ARS,907.0,1740768.82,Authorized Reseller,Credit Card,Education,18–24,New User,3.3,Kept,1919.26
SAMS-00000025,2023-06-12,2023,Q2,June,Argentina,South America,Buenos Aires,Samsung Galaxy S23 FE,Galaxy S,512 GB,Phantom Black,Yes,586.36,10,2,527.72,1055.44,ARS,907.0,957284.08,Authorized Reseller,Credit Card,Government,35–44,Feature Phone,3.6,Kept,1172.72
SAMS-00000031,2023-12-28,2023,Q4,December,Argentina,South America,Buenos Aires,Samsung Galaxy Z Flip 3,Galaxy Z,512 GB,Blue,Yes,675.07,7,3,627.82,1883.46,ARS,907.0,1708298.22,Online (Samsung.com),Samsung Pay,Education,45–54,Android (Other),3.1,Kept,2025.21
SAMS-00000036,2024-04-02,2024,Q2,April,Argentina,South America,Buenos Aires,Samsung Galaxy S22+,Galaxy S,256 GB,Lime,Yes,866.7,20,4,693.36,2773.44,ARS,907.0,2515510.08,Samsung Store,Net Banking,Enterprise,25–34,Feature Phone,4.2,Kept,3466.8
SAMS-00000042,2024-07-24,2024,Q3,July,Argentina,South America,Buenos Aires,Samsung Galaxy Z Flip 3,Galaxy Z,256 GB,Green,Yes,688.13,2,1,674.37,674.37,ARS,907.0,611653.59,Corporate / B2B,Credit Card,Government,25–34,Android (Samsung),3.9,Kept,688.13
SAMS-00000043,2021-01-22,2021,Q1,January,Argentina,South America,Córdoba,Samsung Galaxy S23,Galaxy S,1 TB,Lime,Yes,822.41,12,1,723.72,723.72,ARS,907.0,656414.04,Third-Party Retailer,Gift Card,Enterprise,35–44,iOS,4.6,Exchanged,822.41
SAMS-00000048,2021-09-05,2021,Q3,September,Argentina,South America,Córdoba,Samsung Galaxy A33 5G,Galaxy A,128 GB,Awesome Violet,Yes,326.88,2,1,320.34,320.34,ARS,907.0,290548.38,Online (Samsung.com),Samsung Pay,Individual,25–34,Android (Other),4.1,Kept,326.88
SAMS-00000050,2021-10-22,2021,Q4,October,Argentina,South America,Córdoba,Samsung Galaxy A14,Galaxy A,128 GB,Awesome Black,No,159.03,3,1,154.26,154.26,ARS,907.0,139913.82,Corporate / B2B,Credit Card,Business,45–54,Android (Other),2.7,Kept,159.03
SAMS-00000055,2022-05-01,2022,Q2,May,Argentina,South America,Córdoba,Samsung Galaxy Z Flip 4,Galaxy Z,1 TB,Lavender,Yes,923.95,2,2,905.47,1810.94,ARS,907.0,1642522.58,Carrier Store,EMI / Installment,Education,18–24,Android (Other),3.3,Kept,1847.9
SAMS-00000056,2022-05-12,2022,Q2,May,Argentina,South America,Córdoba,Samsung Galaxy A04s,Galaxy A,256 GB,Awesome Violet,No,136.48,2,1,133.75,133.75,ARS,907.0,121311.25,E-commerce Platform,Net Banking,Enterprise,18–24,Feature Phone,4.8,Kept,136.48
SAMS-00000058,2022-05-31,2022,Q2,May,Argentina,South America,Córdoba,Samsung Galaxy M54 5G,Galaxy M,128 GB,Dark Blue,Yes,320.31,7,1,297.89,297.89,ARS,907.0,270186.23,Corporate / B2B,Gift Card,Education,45–54,Feature Phone,4.7,Kept,320.31
SAMS-00000061,2023-02-19,2023,Q1,February,Argentina,South America,Córdoba,Samsung Galaxy A34 5G,Galaxy A,64 GB,Awesome Black,Yes,376.7,20,2,301.36,602.72,ARS,907.0,546667.04,Authorized Reseller,Samsung Pay,Education,35–44,Feature Phone,4.4,Kept,753.4
SAMS-00000063,2023-04-17,2023,Q2,April,Argentina,South America,Córdoba,Samsung Galaxy M14 5G,Galaxy M,256 GB,Prism Black,Yes,184.28,10,1,165.85,165.85,ARS,907.0,150425.95,Third-Party Retailer,Cash,Education,55+,New User,3.0,Kept,184.28
SAMS-00000066,2023-08-08,2023,Q3,August,Argentina,South America,Córdoba,Samsung Galaxy Z Fold 5,Galaxy Z,1 TB,Graphite,Yes,1707.94,7,1,1588.38,1588.38,ARS,907.0,1440660.66,Carrier Store,BNPL (Buy Now Pay Later),Government,45–54,iOS,3.2,Kept,1707.94
SAMS-00000068,2023-08-20,2023,Q3,August,Argentina,South America,Córdoba,Samsung Galaxy M14 5G,Galaxy M,128 GB,Waterfall Blue,Yes,182.46,0,5,182.46,912.3,ARS,907.0,827456.1,Carrier Store,Credit Card,Business,25–34,Android (Samsung),3.1,Kept,912.3000000000001
SAMS-00000075,2024-10-21,2024,Q4,October,Argentina,South America,Córdoba,Samsung Galaxy Z Flip 5,Galaxy Z,256 GB,Phantom Black,Yes,919.36,0,1,919.36,919.36,ARS,907.0,833859.52,Samsung Store,Cash,Business,18–24,Android (Samsung),3.8,Kept,919.36
SAMS-00000076,2024-11-01,2024,Q4,November,Argentina,South America,Córdoba,Samsung Galaxy A04s,Galaxy A,64 GB,Awesome Peach,No,127.81,5,4,121.42,485.68,ARS,907.0,440511.76,Carrier Store,Cash,Government,35–44,Feature Phone,4.3,Kept,511.24
SAMS-00000081,2021-01-17,2021,Q1,January,Argentina,South America,La Plata,Samsung Galaxy A34 5G,Galaxy A,256 GB,Awesome Violet,Yes,371.01,10,2,333.91,667.82,ARS,907.0,605712.74,Corporate / B2B,BNPL (Buy Now Pay Later),Individual,25–34,New User,3.0,Kept,742.02
SAMS-00000082,2021-02-24,2021,Q1,February,Argentina,South America,La Plata,Samsung Galaxy S23 Ultra,Galaxy S,128 GB,Lime,Yes,1306.91,5,2,1241.56,2483.12,ARS,907.0,2252189.84,Corporate / B2B,EMI / Installment,Government,18–24,Feature Phone,4.6,Kept,2613.82
SAMS-00000084,2021-05-04,2021,Q2,May,Argentina,South America,La Plata,Samsung Galaxy S22 Ultra,Galaxy S,1 TB,Titanium Violet,Yes,1157.04,15,3,983.48,2950.44,ARS,907.0,2676049.08,Corporate / B2B,EMI / Installment,Individual,25–34,Android (Other),3.8,Kept,3471.12
SAMS-00000092,2022-03-20,2022,Q1,March,Argentina,South America,La Plata,Samsung Galaxy Z Flip 3,Galaxy Z,1 TB,Phantom Black,Yes,737.85,0,4,737.85,2951.4,ARS,907.0,2676919.8,Corporate / B2B,Gift Card,Business,45–54,Android (Other),4.5,Kept,2951.4
